 
 
time,open,high,low,close,vol,quote.vol,taker.buy.base.vol,taker.buy.quote.vol,endtime,count,oi                                                                                                                
2024-03-14 09:16:00.000000000,824.55,824.55,824.55,824.55,15,30,2070,2070,2024-03-14 09:16:59.000000000,0,480
2024-03-14 09:17:00.000000000,824.55,824.55,824.55,824.55,15,0,2250,750,2024-03-14 09:17:59.000000000,0,480
2024-03-14 09:18:00.000000000,824.55,824.55,824.55,824.55,15,0,2250,750,2024-03-14 09:18:59.000000000,0,480
2024-03-14 09:19:00.000000000,824.55,824.55,824.55,824.55,15,0,2265,1260,2024-03-14 09:19:59.000000000,0,480
2024-03-14 09:20:00.000000000,824.55,824.55,824.55,824.55,15,0,2265,2280,2024-03-14 09:20:59.000000000,0,480
2024-03-14 09:21:00.000000000,824.55,824.55,824.55,824.55,15,0,1365,1185,2024-03-14 09:21:59.000000000,0,480
2024-03-14 09:22:00.000000000,824.55,824.55,824.55,824.55,15,0,2250,975,2024-03-14 09:22:59.000000000,0,480
2024-03-14 09:23:00.000000000,824.55,824.55,824.55,824.55,15,0,2265,930,2024-03-14 09:23:59.000000000,0,480
2024-03-14 09:24:00.000000000,824.55,824.55,824.55,824.55,15,0,2265,1635,2024-03-14 09:24:59.000000000,0,480
2024-03-14 09:25:00.000000000,824.55,824.55,824.55,824.55,15,0,2265,1635,2024-03-14 09:25:59.000000000,0,480
2024-03-14 09:26:00.000000000,824.55,824.55,824.55,824.55,15,0,2265,990,2024-03-14 09:26:59.000000000,0,480
2024-03-14 09:27:00.000000000,824.55,824.55,824.55,824.55,15,0,1365,1215,2024-03-14 09:27:59.000000000,0,480
2024-03-14 09:28:00.000000000,824.55,824.55,824.55,824.55,15,0,2265,1200,2024-03-14 09:28:59.000000000,0,480
2024-03-14 09:29:00.000000000,824.55,824.55,824.55,824.55,15,0,1815,735,2024-03-14 09:29:59.000000000,0,480
2024-03-14 09:30:00.000000000,796.45,796.45,778.5,778.5,15,60,1470,1200,2024-03-14 09:30:59.000000000,0,510
2024-03-14 09:31:00.000000000,778.5,778.5,778.5,778.5,15,0,1575,2085,2024-03-14 09:31:59.000000000,0,510
2024-03-14 09:32:00.000000000,778.5,778.5,778.5,778.5,15,0,2910,1200,2024-03-14 09:32:59.000000000,0,510
2024-03-14 09:33:00.000000000,778.5,778.5,778.5,778.5,15,0,2025,1200,2024-03-14 09:33:59.000000000,0,510
2024-03-14 09:34:00.000000000,778.5,778.5,778.5,778.5,15,0,1800,1200,2024-03-14 09:34:59.000000000,0,510
2024-03-14 09:35:00.000000000,778.5,778.5,778.5,778.5,15,0,690,1650,2024-03-14 09:35:59.000000000,0,510
2024-03-14 09:36:00.000000000,778.5,778.5,778.5,778.5,15,0,2250,1860,2024-03-14 09:36:59.000000000,0,510
2024-03-14 09:37:00.000000000,778.5,778.5,778.5,778.5,15,0,1800,1620,2024-03-14 09:37:59.000000000,0,510
2024-03-14 09:38:00.000000000,778.5,778.5,778.5,778.5,15,0,2025,1005,2024-03-14 09:38:59.000000000,0,510
2024-03-14 09:39:00.000000000,778.5,778.5,778.5,778.5,15,0,2025,1140,2024-03-14 09:39:59.000000000,0,510
2024-03-14 09:40:00.000000000,778.5,778.5,778.5,778.5,15,0,2025,510,2024-03-14 09:40:59.000000000,0,510
